"document","annotation__start","annotation__end","annotation__label","annotation__text"
"","494","509","DIMENSION","4 square meters"
"","599","610","ROOM","livingroom1"
"","688","704","DIMENSION","31 square meters"
"","724","732","ROOM","kitchen1"
"","740","755","DIMENSION","6 square meters"
"","767","772","DIRECTION","north"
"","850","926","CONNECTION","livingroom1 is adjacent to bedroom1, bedroom2, kitchen1, washroom1, balcony1"
"","928","964","CONNECTION","washroom1 and bedroom1 are connected"
"","966","999","CONNECTION","bedroom2 is adjacent to washroom1"
"Building layout contains three bedrooms, two washrooms, two balconys, one livingroom, and one kitchen. Specifically, bedroom1 floor is Green Granite as well as wall is Pure_Color_Wood and Yellow. bedroom1 has 13 squares in northwest. bedroom2 has 11 squares in northeast. bedroom2 wall is Red Jade, and has Black Jade floor. Moreover, bedroom3 covers 10 square meters located in southwest. bedroom3 uses Blue Rock_Plate for floor as well as wall is Purple Ceramics. Besides, washroom1 is in north with 3 square meters. washroom1 uses Black Mosaic for floor, and wall is Wood_Grain and White. washroom2 has Yellow Ceramics floor as well as wall is Ceramics and Red. washroom2 has 3 squares in north. Additionally, balcony1 is in west with 7 square meters. balcony1 uses Green Cement_Board for floor while has Red Painted_Wood wall. balcony2 is in east with 4 square meters. balcony2 wall is Red Marble, and floor is Wall_Cloth and Green. livingroom1 has 42 squares in center. livingroom1 has Red Painted_Wood floor as well as wall is Orange Stone_Brick. kitchen1 is in southeast with 5 square meters. kitchen1 wall is Blue Wallpaper while floor is Earth_color Bamboo_Vine. bedroom1, bedroom2, bedroom3, balcony1, kitchen1, balcony2, washroom2 and livingroom1 are connected. bedroom1 is next to washroom1. washroom2 and bedroom2 are connected. bedroom3 is next to balcony1. washroom2 and washroom1 are connected. ","25","30","QUANT","three"
"","31","39","ROOM","bedrooms"
"","41","44","QUANT","two"
"","45","54","ROOM","washrooms"
"","56","59","QUANT","two"
"","60","68","ROOM","balconys"
"","70","73","QUANT","one"
"","74","84","ROOM","livingroom"
"","90","93","QUANT","one"
"","94","101","ROOM","kitchen"
"","117","125","ROOM","bedroom1"
"","196","204","ROOM","bedroom1"
"","209","219","DIMENSION","13 squares"
"","223","232","DIRECTION","northwest"
"","234","242","ROOM","bedroom2"
"","247","257","DIMENSION","11 squares"
"","261","270","DIRECTION","northeast"
"","335","343","ROOM","bedroom3"
"","351","367","DIMENSION","10 square meters"
"","379","388","DIRECTION","southwest"
"","390","398","ROOM","bedroom3"
"","475","484","ROOM","washroom1"
"","491","496","DIRECTION","north"
"","502","517","ROOM","3 square meters"
"","592","601","ROOM","washroom2"
"","679","688","DIMENSION","3 squares"
"","692","697","DIRECTION","north"
"","713","721","ROOM","balcony1"
"","728","732","DIRECTION","west"
"","738","753","DIMENSION","7 square meters"
"","831","839","ROOM","balcony2"
"","846","850","DIRECTION","east"
"","856","871","DIMENSION","4 square meters"
"","937","948","ROOM","livingroom1"
"","953","963","DIMENSION","42 squares"
"","1053","1061","ROOM","kitchen1"
"","1068","1077","DIRECTION","southeast"
"","1083","1098","DIMENSION","5 square meters"
"","1100","1108","ROOM","kitchen1"
"","1172","1271","CONNECTION","bedroom1, bedroom2, bedroom3, balcony1, kitchen1, balcony2, washroom2 and livingroom1 are connected"
"","1273","1302","CONNECTION","bedroom1 is next to washroom1"
"","1304","1340","CONNECTION","washroom2 and bedroom2 are connected"
"","1342","1370","CONNECTION","bedroom3 is next to balcony1"
"","1372","1409","CONNECTION","washroom2 and washroom1 are connected"
"Building layout contains two bedrooms, two washrooms, one balcony, one livingroom, and one kitchen. To be specific, bedroom1 has 14 squares in east. bedroom1 uses Earth_color Marble for floor as well as wall is Green Painted_Wood. In addition, bedroom2 wall is Wood_color Ceramics, and floor is Pink Wood_Grain. bedroom2 covers 8 square meters located in north. washroom1 covers 3 square meters located in southeast. washroom1 floor is Red Mosaic as well as wall is Stone_Brick and Earth_color. Besides, washroom2 covers 2 square meters located in southeast. wall of washroom2 is Wall_Cloth and Green while floor is Ceramics and Black. In addition, balcony1 is in northeast with 5 square meters. balcony1 has Purple Pure_Color_Wood wall as well as floor is Rock_Plate and Earth_color. Additionally, livingroom1 covers 20 square meters located in southwest. floor of livingroom1 is Ceramic_Tile and Yellow, and wall is Orange Jade. kitchen1 wall is White Pure_Color_Wood as well as floor is Yellow Marble. kitchen1 is in northwest with 11 square meters. livingroom1 is adjacent to bedroom1, kitchen1, washroom2. bedroom1 is next to bedroom2, balcony1, washroom1, washroom2. bedroom2 and kitchen1 are connected. bedroom2 is next to balcony1. washroom2 and washroom1 are connected. ","25","28","QUANT","two"
"","29","37","ROOM","bedrooms"
"","39","42","QUANT","two"
"","43","52","ROOM","washrooms"
"","54","57","QUANT","one"
"","58","65","ROOM","balcony"
"","67","70","QUANT","one"
"","71","81","ROOM","livingroom"
"","87","90","QUANT","one"
"","91","98","ROOM","kitchen"
"","116","124","ROOM","bedroom1"
"","129","139","DIMENSION","14 squares"
"","143","147","DIRECTION","east"
"","244","252","ROOM","bedroom2"
"","328","343","DIMENSION","8 square meters"
"","355","360","DIRECTION","north"
"","362","371","ROOM","washroom1"
"","379","394","DIMENSION","3 square meters"
"","406","415","DIRECTION","southeast"
"","504","513","ROOM","washroom2"
"","521","536","DIMENSION","2 square meters"
"","548","557","DIRECTION","southeast"
"","649","657","ROOM","balcony1"
"","664","673","DIRECTION","northeast"
"","679","694","DIMENSION","5 square meters"
"","799","810","ROOM","livingroom1"
"","818","834","DIMENSION","20 square meters"
"","846","855","DIRECTION","southwest"
"","931","939","ROOM","kitchen1"
"","1020","1029","DIRECTION","northwest"
"","1035","1051","DIMENSION","11 square meters"
"","1053","1109","CONNECTION","livingroom1 is adjacent to bedroom1, kitchen1, washroom2"
"","1111","1171","CONNECTION","bedroom1 is next to bedroom2, balcony1, washroom1, washroom2"
"","1173","1208","CONNECTION","bedroom2 and kitchen1 are connected"
"","1210","1238","CONNECTION","bedroom2 is next to balcony1"
"","1240","1277","CONNECTION","washroom2 and washroom1 are connected"
"House has three bedrooms, one washroom, two balconys, one livingroom, and one kitchen. In practice, bedroom1 has Gray Painted_Wood wall as well as floor is Pink Bamboo_Vine. bedroom1 is in south with 13 square meters. bedroom2 has Purple Granite floor while has Purple Pure_Color_Wood wall. bedroom2 has 9 squares in north. Additionally, bedroom3 has 5 squares in west. bedroom3 has Purple Wall_Cloth wall as well as has Wood_color Ceramic_Tile floor. washroom1 floor is Pink Wood_Veneer while has Red Marble wall. washroom1 has 4 squares in west. wall of balcony1 is Marble and Black, and has Blue Pure_Color_Wood floor. balcony1 is in south with 6 square meters. balcony2 has 2 squares in north. balcony2 wall is Wood_color Rock_Plate while floor is Painted_Wood and Gray. Moreover, floor of livingroom1 is Granite and Black as well as wall is Green Granite. livingroom1 has 29 squares in center. kitchen1 has 5 squares in north. kitchen1 has Wood_color Log wall while has Purple Ceramic_Tile floor. livingroom1 is adjacent to bedroom1, bedroom2, balcony1, bedroom3, kitchen1, washroom1. balcony1, bedroom3 and bedroom1 are connected. bedroom2 is adjacent to kitchen1, washroom1, balcony2. bedroom3 is next to washroom1. balcony2 and kitchen1 are connected. ","10","15","QUANT","three"
"","16","24","ROOM","bedrooms"
"","26","29","QUANT","one"
"","30","38","ROOM","washroom"
"","40","43","QUANT","two"
"","44","52","ROOM","balconys"
"","54","57","QUANT","one"
"","58","68","ROOM","livingroom"
"","74","77","QUANT","one"
"","78","85","ROOM","kitchen"
"","100","108","ROOM","bedroom1"
"","189","194","DIRECTION","south"
"","200","216","DIMENSION","13 square meters"
"","218","226","ROOM","bedroom2"
"","291","299","ROOM","bedroom2"
"","304","313","DIMENSION","9 squares"
"","317","322","DIRECTION","north"
"","351","360","DIMENSION","5 squares"
"","637","642","DIRECTION","south"
"","648","663","DIMENSION","6 square meters"
"","665","673","ROOM","balcony2"
"","678","687","DIMENSION","2 squares"
"","691","696","DIRECTION","north"
"","794","805","ROOM","livingroom1"
"","861","872","ROOM","livingroom1"
"","877","887","DIMENSION","29 squares"
"","899","907","ROOM","kitchen1"
"","912","921","DIMENSION","5 squares"
"","925","930","DIRECTION","north"
"","1002","1088","CONNECTION","livingroom1 is adjacent to bedroom1, bedroom2, balcony1, bedroom3, kitchen1, washroom1"
"","1090","1135","CONNECTION","balcony1, bedroom3 and bedroom1 are connected"
"","1137","1190","CONNECTION","bedroom2 is adjacent to kitchen1, washroom1, balcony2"
"","1192","1221","CONNECTION","bedroom3 is next to washroom1"
"","1223","1258","CONNECTION","balcony2 and kitchen1 are connected"
"The house plan has two washrooms, one livingroom, one closet, three bedrooms, one kitchen, and one balcony. Specifically, washroom1 covers 5 square meters located in center. floor of washroom1 is Ceramic_Tile and Earth_color, and has Gray Mosaic wall. washroom2 has 4 squares in north. wall of washroom2 is Wood_Veneer and Orange as well as has Yellow Ceramic_Tile floor. livingroom1 uses Green Quartz for floor, and wall is Ceramics and Red. livingroom1 has 45 squares in east. Additionally, closet1 has Green Wallpaper wall while floor is Wood_color Coating. closet1 covers 8 square meters located in north. Moreover, bedroom1 is in west with 19 square meters. bedroom1 has Gray Mosaic wall as well as floor is Orange Cement_Board. Additionally, bedroom2 has 15 squares in center. wall of bedroom2 is Wallpaper and White, and floor is Red Marble. In addition, bedroom3 has 10 squares in west. bedroom3 floor is Yellow Rock_Plate as well as has Yellow Ceramics wall. Moreover, kitchen1 covers 8 square meters located in northeast. kitchen1 has Gray Jade wall, and uses Yellow Wood_Grain for floor. balcony1 is in west with 5 square meters. balcony1 floor is Yellow Granite as well as wall is White Wallpaper. bedroom1, bedroom2, bedroom3, closet1, kitchen1, washroom1 and livingroom1 are connected. bedroom1 is next to bedroom3, washroom2. washroom1 and bedroom2 are connected. bedroom3 is adjacent to balcony1, washroom1. closet1 is next to washroom2. ","19","22","QUANT","two"
"","23","32","ROOM","washrooms"
"","34","37","QUANT","one"
"","38","48","ROOM","livingroom"
"","50","53","QUANT","one"
"","54","60","ROOM","closet"
"","62","67","QUANT","three"
"","68","76","ROOM","bedrooms"
"","78","81","QUANT","one"
"","82","89","ROOM","kitchen"
"","95","98","QUANT","one"
"","99","106","ROOM","balcony"
"","122","131","ROOM","washroom1"
"","139","154","DIMENSION","5 square meters"
"","183","192","ROOM","washroom1"
"","252","261","ROOM","washroom2"
"","266","275","DIMENSION","4 squares"
"","279","284","DIRECTION","north"
"","294","303","ROOM","washroom2"
"","372","383","ROOM","livingroom1"
"","459","469","DIMENSION","45 squares"
"","473","477","DIRECTION","east"
"","493","500","ROOM","closet1"
"","576","591","DIMENSION","8 square meters"
"","603","608","DIRECTION","north"
"","620","628","ROOM","bedroom1"
"","635","639","DIRECTION","west"
"","645","661","DIMENSION","19 square meters"
"","761","771","DIMENSION","15 squares"
"","875","885","DIMENSION","10 squares"
"","889","893","DIRECTION","west"
"","895","903","ROOM","bedroom3"
"","978","986","ROOM","kitchen1"
"","994","1009","DIMENSION","8 square meters"
"","1114","1118","DIRECTION","west"
"","1124","1139","DIMENSION","5 square meters"
"","1141","1149","ROOM","balcony1"
"","1210","1298","CONNECTION","bedroom1, bedroom2, bedroom3, closet1, kitchen1, washroom1 and livingroom1 are connected"
"","1300","1339","CONNECTION","bedroom1 is next to bedroom3, washroom2"
"","1341","1377","CONNECTION","washroom1 and bedroom2 are connected"
"","1379","1422","CONNECTION","bedroom3 is adjacent to balcony1, washroom1"
"","1424","1452","CONNECTION","closet1 is next to washroom2"
"The building contains two washrooms, two livingrooms, one storage, three bedrooms, one kitchen, and one balcony. More specifically, washroom1 wall is White Quartz, and uses Green Coating for floor. washroom1 has 5 squares in west. In addition, washroom2 is in west with 4 square meters. washroom2 floor is Purple Marble as well as wall is Coating and Green. Additionally, livingroom1 has 39 squares in center. livingroom1 wall is Pink Coating while has Red Log floor. livingroom2 has Black Mosaic floor, and has Orange Wall_Cloth wall. livingroom2 is in west with 3 square meters. Moreover, storage1 covers 4 square meters located in northeast. storage1 has Gray Ceramics wall as well as has Yellow Ceramic_Tile floor. bedroom1 covers 18 square meters located in southwest. bedroom1 has Gray Cement_Board wall, and uses Blue Wood_Grain for floor. bedroom2 has Black Bamboo_Vine wall while floor is Jade and White. bedroom2 is in southeast with 11 square meters. bedroom3 is in northwest with 10 square meters. floor of bedroom3 is Marble and Blue as well as has Green Ceramics wall. kitchen1 is in north with 7 square meters. floor of kitchen1 is Bamboo_Vine and Red, and wall is Earth_color Wall_Cloth. In addition, balcony1 is in south with 6 square meters. balcony1 uses Green Quartz for floor as well as wall is Wood_Veneer and Green. livingroom1 is adjacent to bedroom1, bedroom2, bedroom3, kitchen1, balcony1, storage1, livingroom2. balcony1, washroom1, livingroom2 and bedroom1 are connected. bedroom3 is adjacent to kitchen1, washroom2, livingroom2. storage1 and kitchen1 are connected. washroom1 is adjacent to washroom2, livingroom2. washroom2 is next to livingroom2. ","22","25","QUANT","two"
"","26","35","ROOM","washrooms"
"","37","40","QUANT","two"
"","41","52","ROOM","livingrooms"
"","54","57","QUANT","one"
"","58","65","ROOM","storage"
"","67","72","QUANT","three"
"","73","81","ROOM","bedrooms"
"","83","86","QUANT","one"
"","87","94","ROOM","kitchen"
"","100","103","QUANT","one"
"","104","111","ROOM","balcony"
"","132","141","ROOM","washroom1"
"","212","221","DIMENSION","5 squares"
"","225","229","DIRECTION","west"
"","244","253","ROOM","washroom2"
"","260","264","DIRECTION","west"
"","270","285","DIMENSION","4 square meters"
"","372","383","ROOM","livingroom1"
"","388","398","DIMENSION","39 squares"
"","410","421","ROOM","livingroom1"
"","554","558","DIRECTION","west"
"","564","579","DIMENSION","3 square meters"
"","591","599","ROOM","storage1"
"","607","622","DIMENSION","4 square meters"
"","634","643","DIRECTION","northeast"
"","719","727","ROOM","bedroom1"
"","735","751","DIMENSION","18 square meters"
"","763","772","DIRECTION","southwest"
"","847","855","ROOM","bedroom2"
"","914","922","ROOM","bedroom2"
"","929","938","DIRECTION","southeast"
"","944","960","DIMENSION","11 square meters"
"","962","970","ROOM","bedroom3"
"","977","986","DIRECTION","northwest"
"","992","1008","DIMENSION","10 square meters"
"","1019","1027","ROOM","bedroom3"
"","1083","1091","ROOM","kitchen1"
"","1098","1103","DIRECTION","north"
"","1109","1124","DIMENSION","7 square meters"
"","1135","1143","ROOM","kitchen1"
"","1217","1225","ROOM","balcony1"
"","1232","1237","DIRECTION","south"
"","1243","1258","DIMENSION","6 square meters"
"","1339","1437","CONNECTION","livingroom1 is adjacent to bedroom1, bedroom2, bedroom3, kitchen1, balcony1, storage1, livingroom2"
"","1439","1498","CONNECTION","balcony1, washroom1, livingroom2 and bedroom1 are connected"
"","1500","1556","CONNECTION","bedroom3 is adjacent to kitchen1, washroom2, livingroom2"
"","1558","1593","CONNECTION","storage1 and kitchen1 are connected"
"","1595","1642","CONNECTION","washroom1 is adjacent to washroom2, livingroom2"
"","1644","1676","CONNECTION","washroom2 is next to livingroom2"
"Building layout contains two bedrooms, one washroom, one balcony, one livingroom, and one kitchen. More specifically, bedroom1 has 15 squares in west. bedroom1 has White Bamboo_Vine wall as well as uses Yellow Marble for floor. bedroom2 floor is Blue Cement_Board while wall is Blue Granite. bedroom2 is in east with 12 square meters. washroom1 has 5 squares in center. wall of washroom1 is Stone_Brick and Pink as well as floor is Coating and Yellow. Moreover, balcony1 is in north with 6 square meters. balcony1 wall is Earth_color Coating while has Earth_color Rock_Plate floor. Additionally, livingroom1 floor is Yellow Ceramic_Tile as well as wall is Pink Cement_Board. livingroom1 is in center with 33 square meters. Besides, kitchen1 wall is White Stone_Brick while floor is Yellow Granite. kitchen1 is in southeast with 6 square meters. bedroom1, bedroom2, kitchen1, balcony1, washroom1 and livingroom1 are connected. bedroom1 is next to washroom1. ","25","28","QUANT","two"
"","29","37","ROOM","bedrooms"
"","39","42","QUANT","one"
"","43","51","ROOM","washroom"
"","53","56","QUANT","one"
"","57","64","ROOM","balcony"
"","66","69","QUANT","one"
"","70","80","ROOM","livingroom"
"","86","89","QUANT","one"
"","90","97","ROOM","kitchen"
"","118","126","ROOM","bedroom1"
"","131","141","DIMENSION","15 squares"
"","145","149","DIRECTION","west"
"","151","159","ROOM","bedroom1"
"","228","236","ROOM","bedroom2"
"","307","311","DIRECTION","east"
"","317","333","DIMENSION","12 square meters"
"","335","344","ROOM","washroom1"
"","349","358","DIMENSION","5 squares"
"","378","387","ROOM","washroom1"
"","462","470","ROOM","balcony1"
"","477","482","DIRECTION","north"
"","488","503","DIMENSION","6 square meters"
"","505","513","ROOM","balcony1"
"","596","607","ROOM","livingroom1"
"","705","721","DIMENSION","33 square meters"
"","732","740","ROOM","kitchen1"
"","813","822","DIRECTION","southeast"
"","828","843","DIMENSION","6 square meters"
"","845","924","CONNECTION","bedroom1, bedroom2, kitchen1, balcony1, washroom1 and livingroom1 are connected"
"","926","955","CONNECTION","bedroom1 is next to washroom1"
"Building layout contains one washroom, three bedrooms, one livingroom, and one kitchen. To be specific, washroom1 wall is Blue Wood_Grain, and uses Red Wood_Grain for floor. washroom1 covers 4 square meters located in east. Moreover, bedroom1 uses Black Painted_Wood for floor while wall is Wood_color Stone_Brick. bedroom1 has 15 squares in northeast. In addition, bedroom2 wall is Blue Wood_Grain as well as uses Earth_color Cement_Board for floor. bedroom2 has 10 squares in northwest. bedroom3 covers 11 square meters located in southeast. bedroom3 has Blue Wood_Grain wall, and has Orange Quartz floor. livingroom1 has 47 squares in center. livingroom1 has Orange Wood_Grain wall while floor is Black Wall_Cloth. kitchen1 uses Pink Wallpaper for floor, and wall is Jade and Wood_color. kitchen1 is in south with 7 square meters. bedroom1, bedroom2, bedroom3, kitchen1, washroom1 and livingroom1 are connected. bedroom1 is next to washroom1. kitchen1, washroom1 and bedroom3 are connected. ","25","28","QUANT","one"
"","29","37","ROOM","washroom"
"","39","44","QUANT","three"
"","45","53","ROOM","bedrooms"
"","55","58","QUANT","one"
"","59","69","ROOM","livingroom"
"","75","78","QUANT","one"
"","79","86","ROOM","kitchen"
"","104","113","ROOM","washroom1"
"","174","183","ROOM","washroom1"
"","191","206","DIMENSION","4 square meters"
"","218","222","DIRECTION","east"
"","234","242","ROOM","bedroom1"
"","328","338","DIMENSION","15 squares"
"","342","351","DIRECTION","northeast"
"","366","374","DIRECTION","bedroom2"
"","464","474","DIMENSION","10 squares"
"","478","487","DIRECTION","northwest"
"","489","497","ROOM","bedroom3"
"","505","514","DIMENSION","11 square"
"","533","542","DIRECTION","southeast"
"","608","619","ROOM","livingroom1"
"","624","634","DIMENSION","47 squares"
"","718","726","ROOM","kitchen1"
"","806","811","DIRECTION","south"
"","817","832","DIMENSION","7 square meters"
